gene1,gene2,value,rank
AT1G19380,AT4G31550,0.6763136890748068,12
AT5G59130,AT5G53460,0.2557774288349436,12
AT5G44530,AT1G35160,0.20439435920654445,12
AT4G01250,AT2G44490,0.7338923488438538,12
AT2G01950,AT2G31400,0.1578924822213298,12
AT1G30600,AT5G45650,0.25722395260237313,12
AT1G30600,AT5G53460,0.2437231101028227,12
AT1G51800,AT5G39580,0.7630623473461284,12
AT3G46280,AT5G39580,0.7437162327754053,12
AT4G21326,AT2G19170,0.2091940042775303,12
AT1G52200,AT5G48430,0.7628337612399878,12
AT3G50470,AT5G40780,0.6258674923019119,12
AT1G65690,AT5G40780,0.6832780750284186,12
AT1G30720,AT4G08850,0.6959925381825645,12
AT5G53460,AT1G37130,0.3189654735243043,12
AT3G52450,AT4G31550,0.7563374515311586,12
AT5G53460,AT5G67360,0.24443381944798176,12
AT1G64170,AT5G37600,0.6182304178479376,12
AT1G64170,AT3G26210,0.6462702143106037,12
AT2G25470,AT2G44380,0.6477679492183844,12
AT3G52450,AT2G39200,0.8068912964698032,12
AT4G35180,AT1G65690,0.7026137173651931,13
AT3G48650,AT4G38560,0.6683683186551569,13
