gene1,gene2,value,rank
AT2G39200,AT3G22060,0.4565254732050919,14
AT5G53110,AT2G44380,0.27586469124586466,14
AT4G20860,AT2G17740,0.3412853880923663,14
AT5G13930,AT1G35160,0.10141249536551933,14
AT1G30730,AT1G51620,0.36433878243264495,14
AT1G64280,AT4G38560,0.23341722532053555,14
AT4G15040,AT1G20160,0.06704148253013797,14
AT5G55050,AT2G15620,0.16474968510705446,14
AT1G20150,AT1G01900,0.06394744101498695,14
AT5G44530,AT4G27730,0.10369023044171156,14
AT5G44530,AT5G59080,0.09758860614804354,14
AT1G65490,AT3G14067,0.1247079695512805,14
AT3G52450,AT2G42360,0.29517530895510746,14
AT2G25470,AT1G05300,0.22224672723882444,15
AT4G38560,AT4G31800,0.20553481277411234,15
AT4G38560,AT3G25882,0.22591025425150305,15
AT2G17740,AT5G48430,0.3259626461773897,15
AT3G49780,AT5G67450,0.28462112991075217,15
AT2G04160,AT4G20850,0.08558144174984507,15
AT4G21323,AT1G37130,0.09508987289577008,15
AT1G51620,AT3G22060,0.36380588528713975,15
AT5G44585,AT5G40780,0.31530503837015145,15
AT1G15950,AT4G20850,0.07589545591280689,15
AT5G59080,AT1G01900,0.06301256338952799,15
AT1G64170,AT4G27730,0.16059145614551196,15
AT2G42360,AT5G48430,0.27645857490556525,15
AT1G30720,AT4G08850,0.3076508166205576,15
AT1G30600,AT2G31400,0.09029392331989117,15
AT1G52200,AT5G48430,0.3946625058285889,15
AT2G02220,AT3G22060,0.40071912376552055,15
AT1G19380,AT1G65490,0.2444616757497269,15
AT4G08850,AT1G61380,0.2633226167896652,15
AT3G50470,AT2G37710,0.2580067248780735,15
AT5G39580,AT1G61360,0.329526688143605,15
AT2G39530,AT1G65690,0.274217948028447,15
AT1G66220,AT4G00230,0.07377927466661016,15
AT4G38560,AT4G21410,0.1880329954879212,15
AT1G51890,AT3G21080,0.35508287270777883,15
AT2G38900,AT5G58840,0.12007718901262356,15
AT2G04160,AT1G71950,0.14159123198776769,15
AT3G45060,AT5G45640,0.10108107425917234,15
AT5G10450,AT1G01900,0.07860231697320774,15
AT2G19170,AT5G45640,0.07615901917535718,15
AT1G51800,AT4G31550,0.2755900478752729,15
AT3G14240,AT1G77380,0.1945256150849053,15
AT1G30730,AT1G19380,0.2732614902694768,15
AT1G30730,AT2G36690,0.3595253881864482,15
AT3G52450,AT1G19380,0.2927711024058397,15
AT3G46280,AT3G29034,0.30409885734652004,15
AT1G14780,AT1G64280,0.2315658029037777,15
AT4G20000,AT3G49780,0.30844665328580545,15
AT2G39200,AT2G17740,0.4531616763445336,15
AT4G21870,AT5G59080,0.08384559190251227,15
AT4G35180,AT2G44370,0.4075941084901731,15
AT4G20860,AT4G35180,0.33563447183067985,15
AT4G35180,AT1G49000,0.30959127035357303,15
AT2G39200,AT1G61360,0.4389263381413231,16
AT4G23210,AT5G40780,0.267357460943368,16
AT1G51890,AT2G39530,0.34474623175878416,16
AT4G20860,AT5G01540,0.3331235203458185,16
AT2G41220,AT4G26330,0.08824061127636051,16
AT1G51800,AT5G40780,0.2687602953054886,16
AT1G32950,AT2G39850,0.1139177452290392,16
AT1G30600,AT5G19660,0.0908420221254318,16
AT5G37600,AT3G19930,0.21298314172274413,16
AT1G51620,AT1G49000,0.3621474738407221,16
AT2G22122,AT2G37040,0.1476650749482422,16
AT5G45640,AT1G32970,0.07079415291958703,16
AT5G07440,AT1G37130,0.17727557054046786,16
AT2G22122,AT4G20430,0.09405063364981013,16
AT1G30730,AT1G61360,0.3295070787666865,16
AT5G01540,AT2G44370,0.401230316501878,16
AT4G35180,AT1G65690,0.3065874785836313,16
AT3G19010,AT2G37040,0.2626834753179248,16
AT1G61380,AT3G22060,0.2750596336337721,16
AT5G59130,AT4G15040,0.10043932050505512,16
AT3G26210,AT2G37710,0.25014839740505623,16
AT3G26210,AT1G49000,0.2807213278989336,16
AT2G36690,AT3G22060,0.35743446238029297,16
AT3G45060,AT1G32970,0.09766357316887908,16
AT4G20000,AT5G53110,0.2977667826504806,16
AT1G64280,AT2G02220,0.38066056527152936,16
AT5G59810,AT4G20850,0.07323585927826781,16
AT5G53110,AT5G50200,0.2679915030734066,16
AT5G01540,AT2G37710,0.3289267013510864,16
AT2G44380,AT2G17740,0.32301509023363617,16
AT5G44585,AT3G21080,0.3130061998273699,16
AT5G04140,AT2G05920,0.16179769653657994,16
AT4G01250,AT1G30720,0.31993049685636543,16
AT4G34980,AT3G29034,0.2981781674962687,16
AT4G34980,AT1G65690,0.2724230821898179,16
AT5G50200,AT1G52200,0.3850540113866972,16
AT4G01700,AT5G48430,0.2624472404413953,16
AT5G04140,AT5G67360,0.15451424188712304,16
AT3G48650,AT5G67450,0.2753102477760496,16
AT5G01540,AT4G08850,0.3245816296929913,17
AT1G30730,AT1G30720,0.2895369791560092,17
AT1G30730,AT1G51890,0.34292400642566223,17
AT5G67450,AT1G05300,0.2723791672483198,17
AT5G44585,AT3G26210,0.29410626190399736,17
AT2G02220,AT5G39580,0.3721742505314953,17
AT5G44530,AT3G19450,0.08253759728419485,17
AT4G08850,AT5G48430,0.26168925226858986,17
AT2G44370,AT1G49000,0.3847470750269025,17
AT3G21080,AT5G40780,0.2628206478542385,17
AT4G20860,AT1G51620,0.34468099585368783,17
AT3G26210,AT1G05300,0.2395173852785504,17
AT2G19170,AT2G05920,0.1602398756723995,17
AT2G06050,AT1G32950,0.1138616952668039,17
AT1G61380,AT2G37710,0.2575516852233453,17
AT3G48650,AT4G23210,0.2638436521982759,17
AT2G36690,AT5G39580,0.35238506858158325,17
AT4G01250,AT2G44380,0.3197889945749137,17
AT1G37130,AT4G20850,0.08777252768046573,17
AT1G37130,AT2G15620,0.14707146065052168,17
AT4G20000,AT3G50470,0.29697285701958376,17
AT2G39200,AT1G52200,0.4240528213029975,17
AT4G33430,AT2G01950,0.1100404645309605,17
AT4G01700,AT2G19190,0.1955919106395612,17
AT5G04140,AT2G19190,0.1855350336426702,17
AT3G29034,AT5G67450,0.297925307152201,17
AT5G59080,AT5G67090,0.08643791767033071,17
AT1G05300,AT3G21080,0.24693297297717945,17
AT1G30730,AT1G64280,0.2623286503333331,17
AT5G39580,AT3G22060,0.31193919754814514,17
AT5G39580,AT2G17740,0.3225897608781403,17
AT1G15950,AT5G20250,0.0746189474604968,17
AT4G20860,AT2G39530,0.3307490413062948,17
AT1G15950,AT4G15040,0.07198055396493963,17
AT4G24160,AT4G08850,0.23352348259083344,17
AT5G53460,AT1G65490,0.1191439761712494,17
AT3G19930,AT5G19660,0.1552228883176716,17
AT1G52200,AT2G36690,0.3705717644415667,17
AT4G24160,AT1G19380,0.2391542133392805,17
AT1G30600,AT4G27730,0.09911362111546884,17
AT2G04160,AT4G27730,0.09910623073272797,18
AT4G20860,AT2G36690,0.3493455431332273,18
AT4G20860,AT1G65690,0.3218580978446104,18
AT2G06050,AT2G30360,0.11874460631777285,18
AT4G20000,AT3G52450,0.2915101573315344,18
AT1G08090,AT2G41220,0.08291699100975336,18
AT1G51800,AT3G22060,0.2641227328829088,18
AT4G31550,AT2G44490,0.2236415428022378,18
AT2G39530,AT1G61360,0.3019650196812038,18
AT2G15620,AT1G65690,0.2533769737550202,18
AT4G20000,AT1G51890,0.3416487741238408,18
AT5G20250,AT5G58840,0.0715095774434169,18
AT2G04160,AT5G20250,0.08029952224722536,18
AT2G39200,AT5G48430,0.4164353720313285,18
AT1G52200,AT1G61380,0.3646399429658905,18
AT1G77380,AT3G19930,0.1510612242046938,18
AT5G45650,AT4G20850,0.08815344540650094,18
AT2G44370,AT3G21080,0.383579933781548,18
AT3G52450,AT4G31550,0.2747358337539987,18
AT2G04160,AT5G53460,0.11153709144983216,18
AT3G48650,AT3G21080,0.23985639867868525,18
AT4G24160,AT2G44490,0.21810627841541488,18
AT1G66210,AT1G12940,0.08046546097255991,18
AT5G03620,AT1G32970,0.0571258135998789,18
