gene1,gene2,value
AT1G19380,AT5G01540,0.307389472007773
AT2G44380,AT2G36690,0.3064868081004215
AT3G50480,AT5G37600,0.30517456959831857
AT5G37600,AT3G50480,0.30517456959831857
AT1G61380,AT4G35180,0.3049329921542778
AT2G37710,AT4G38560,0.30446683462820845
AT4G38560,AT2G37710,0.30446683462820845
AT5G53110,AT3G29034,0.3044039468704609
AT3G46280,AT3G29034,0.30409885734652004
AT4G31800,AT4G35180,0.3040601383047972
AT5G59130,AT5G45650,0.3036728229379177
AT5G45650,AT5G59130,0.3036728229379177
AT4G23210,AT4G20860,0.30322986299071664
AT1G51800,AT3G46280,0.3025034797053319
AT1G05300,AT1G52200,0.3024865875510085
AT5G40780,AT2G39200,0.3021557356150333
AT2G39530,AT1G61360,0.3019650196812038
AT2G44380,AT1G51890,0.3004487559088613
AT3G26210,AT5G53110,0.2984282718919677
AT5G53110,AT3G26210,0.2984282718919677
AT3G50470,AT2G36690,0.2982017247064599
AT4G34980,AT3G29034,0.2981781674962687
AT1G51680,AT4G08850,0.29785267674320304
AT3G50470,AT4G20000,0.29697285701958376
AT2G19190,AT1G51800,0.2967516444185836
AT2G05920,AT1G52200,0.2957302160011153
AT3G50480,AT1G65690,0.2945227467263394
AT3G26210,AT5G44585,0.29410626190399736
AT3G25882,AT3G29034,0.2937859543433399
AT1G19380,AT3G52450,0.2927711024058397
AT3G21080,AT4G23210,0.2924406575500289
AT1G64280,AT4G35180,0.2919991432525044
AT3G19930,AT5G07440,0.2918117979415682
AT5G07440,AT3G19930,0.2918117979415682
AT1G64280,AT3G19010,0.29165305530367625
AT5G37600,AT5G53110,0.2916475769930642
AT1G70530,AT4G35180,0.29100013118556545
AT2G44490,AT4G20860,0.2907047871807664
AT3G21080,AT2G25000,0.2903229359532151
AT2G25000,AT3G21080,0.2903229359532151
AT2G37710,AT4G23210,0.2899606038966429
AT4G31550,AT3G22060,0.2897989346383025
AT3G21080,AT2G39530,0.2895454977971641
AT2G39530,AT3G21080,0.2895454977971641
AT1G02450,AT3G50470,0.2893440409697372
AT3G50470,AT1G02450,0.2893440409697372
AT2G44490,AT1G49000,0.2883936748036533
AT3G14240,AT4G34980,0.2879137231611717
AT4G34980,AT3G14240,0.2879137231611717
AT3G49780,AT4G34980,0.2869827508985279
AT4G34980,AT3G49780,0.2869827508985279
AT4G27730,AT2G25000,0.2868043086151633
AT2G25000,AT4G27730,0.2868043086151633
AT2G37710,AT5G67450,0.2867153910940907
AT2G30490,AT2G42360,0.28659624209832724
AT3G48650,AT2G36690,0.2864581156368786
AT1G19380,AT2G39200,0.285679564800998
AT4G21410,AT2G39200,0.2851620070529253
AT1G70530,AT2G36690,0.2851344481914597
