gene1,gene2,value,rank
AT3G49780,AT1G65690,0.026544157243176828,9
AT4G24160,AT4G31800,0.0327260147835956,9
AT3G19010,AT2G44490,0.03204179731257787,9
AT3G19010,AT5G67090,0.051966626176271784,9
AT4G21326,AT5G45640,0.011833615628241078,9
AT5G11940,AT5G59100,0.010832161137958951,9
AT3G48650,AT1G61360,0.020307209521499853,9
AT5G11940,AT4G15040,0.014319901669290959,9
AT4G20860,AT1G51800,0.030560284757616775,9
AT1G14780,AT2G25470,0.013025489343878026,9
AT1G51800,AT2G19190,0.04316976595948375,9
AT2G22122,AT4G26330,0.009583583223076043,9
AT5G06950,AT4G27730,0.008790755509183144,9
AT1G51800,AT3G46280,0.03526152661216598,9
AT2G39200,AT2G44370,0.05023017595021762,9
AT5G06950,AT2G31400,0.010097157499764087,9
AT1G72300,AT4G39400,0.02118158438579081,9
AT5G45650,AT1G32950,0.016991920731773483,9
AT3G52450,AT4G31550,0.03834457975349554,9
AT5G51750,AT5G67360,0.016910871158690097,9
AT1G77380,AT3G45060,0.021756806000867827,9
AT2G30490,AT5G54160,0.048968112086225,9
AT4G20430,AT5G19660,0.010465219180929108,9
AT5G59080,AT5G58840,0.01304904033114852,9
AT3G45060,AT5G54160,0.01753598262996698,10
AT5G01540,AT1G61360,0.039045003616855985,10
AT1G14780,AT5G59080,0.012380921899781594,10
AT5G01540,AT2G37710,0.03272216215201158,10
AT4G20430,AT1G77380,0.009918132075531216,10
AT1G52200,AT3G29034,0.051340431818102564,10
AT1G77380,AT2G04160,0.02291385377999475,10
AT1G14780,AT1G35160,0.03723010329823345,10
AT1G52200,AT5G39580,0.034475122067107684,10
AT5G67450,AT4G38560,0.019042218219382286,10
AT2G05920,AT1G65690,0.02021777698969856,10
AT4G20000,AT1G05300,0.029004616147767563,10
AT4G20000,AT2G02220,0.03050704843751232,10
AT4G20000,AT5G53110,0.03773806359445536,10
AT4G20000,AT2G44370,0.04268649463942897,10
AT5G45650,AT3G19450,0.013600177658752769,10
AT2G01950,AT4G15040,0.009207320428165702,10
AT1G30720,AT4G01700,0.034633558005646777,10
AT1G04110,AT1G30600,0.009960250791894129,10
AT2G38900,AT5G67360,0.0174662198392053,10
AT1G62340,AT1G32970,0.008823905683052217,10
AT4G21326,AT5G58840,0.011663881403817144,10
AT4G20850,AT5G59100,0.011744225488466788,10
