Gene1,Gene2,Score
AT5G51990,AT5G60020,0.010286044322462173
AT2G15630,AT5G09530,0.010282209795423129
AT4G19020,AT2G25490,0.010279554920874446
AT1G74230,AT5G49700,0.010277045978347108
AT1G11060,AT4G24190,0.010273642746939673
AT1G08010,AT5G61790,0.01026686222181003
AT3G12640,AT4G29020,0.010265074306241592
AT1G79850,AT3G22640,0.01025618835385809
AT4G17060,AT1G06750,0.01025567310206284
AT5G61920,AT3G03190,0.010249208473534785
AT1G24270,AT1G52410,0.010248223936474992
AT2G44900,AT3G55980,0.010247623138027689
AT4G34940,AT2G48140,0.010243985920468835
AT1G31340,AT2G22330,0.01024195831341766
AT4G34940,AT2G48130,0.010240205498029646
AT4G33860,AT3G11550,0.010237687031073103
AT4G35320,AT1G07400,0.010228508273544315
AT3G29270,AT4G10500,0.010227952881047013
AT4G37280,AT1G59860,0.010226275548380324
AT5G62900,AT1G04820,0.01022550919689019
AT3G25980,AT5G13930,0.010220317601750023
AT2G45030,AT2G26150,0.010217672918573959
AT5G54440,AT3G22640,0.010211502134743861
